content.address,content.cuisine-type,content.day,content.hours,content.icon,content.pathsData,content.price,content.rating,content.title,content.walking-distance-workshop,content.walking-time-workshop,content.vegetarian,content.vegan,content.gluten-free
"34 Rue Massena, 06000 Nice, France",Pizza,02,11:30 AM – 1:00 AM,it,"[{""lat"": 43.69634045248791, ""lng"": 7.263210178246357}, {""lat"": 43.69674047149913, ""lng"": 7.265056513449291}, {""lat"": 43.69693535723807, ""lng"": 7.265297788569322}]",$$,⭐⭐⭐⭐(4.3),La Pizza Cresci,240 meters,3 minutes,yes,yes,no
"43 Rue Massena, 06000 Nice, France",Canadian,02,11:30 AM – 1:00 AM,ca,"[{""lat"": 43.69634045248791, ""lng"": 7.263210178246357}, {""lat"": 43.69674047149913, ""lng"": 7.265056513449291}, {""lat"": 43.69685767558586, ""lng"": 7.265344912616205}]",$$,⭐⭐⭐⭐(4.0),Le Québec,240 meters,3 minutes,no,yes,no
"1 Rue Dalpozzo, 06000 Nice, France",Lebanese,02,12:00 PM – 3:00 PM,lb,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.696394581534676, ""lng"": 7.263220139548746}, {""lat"": 43.69614452283673, ""lng"": 7.262488841581995}, {""lat"": 43.69604838181045, ""lng"": 7.261803604128688}, {""lat"": 43.6963264256787, ""lng"": 7.261740747516318}]",$$ / $$$,⭐⭐⭐⭐⭐(4.9),Téta Marie,200 meters,3 minutes,yes,yes,no
"10 Rue Meyerbeer, 06000 Nice, France",Italian,02,12:00 PM – 2:30 PM,it,"[ {""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.696394581534676, ""lng"": 7.263220139548746}, {""lat"": 43.69614452283673, ""lng"": 7.262488841581995}, {""lat"": 43.695882600240466, ""lng"": 7.260846713458593}, {""lat"": 43.69608016999856, ""lng"": 7.260798014021199}]",$$,⭐⭐⭐⭐(4.6),Vabbuo,280 meters,4 minutes,yes,yes,no
"12 Rue Meyerbeer, 06000 Nice, France",French,02,8:30 AM – 11:00 PM,fr,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.696394581534676, ""lng"": 7.263220139548746}, {""lat"": 43.69614452283673,""lng"": 7.262488841581995}, {""lat"": 43.695882600240466,""lng"": 7.260846713458593}, {""lat"": 43.69619460367059, ""lng"": 7.260764194967707}]",$$,⭐⭐⭐⭐(4.4),Olim Meyerbeer,290 meters,4 minutes,no,yes,no
"4 Rue du Congrès, 06000 Nice, France",Modern French,02,10:00 AM – 3:00 PM,fr,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.695509148897905, ""lng"": 7.263454990712166}]    ",$$,⭐⭐⭐⭐⭐(4.9),Gago France,43 meters,1 minute,no,yes,no
"3 Prom. des Anglais, 06200 Nice, France",Beachfront Seafood,02,8:30 AM – 11:00 PM,fr,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.69476547693333, ""lng"": 7.263672347323503}, {""lat"": 43.69483902497268, ""lng"": 7.266002423034453}]",$$$,⭐⭐⭐⭐(4.3),Le Galet,300 meters,4 minutes,no,yes,no
"Via di Ripetta, 14, 00186 Roma RM, Italy",Italian,03,12:00 PM – 12:00 AM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.91299392753141, ""lng"": 12.472115760362541}, {""lat"": 41.91303651231508, ""lng"": 12.472217536909925}, {""lat"": 41.913167094097446, ""lng"": 12.472357201240003}, {""lat"": 41.91242992639202, ""lng"": 12.472684438302602}, {""lat"": 41.91217333583699, ""lng"": 12.472710817011041}, {""lat"": 41.91214918713026, ""lng"": 12.472559381181034}, {""lat"": 41.91010590509649, ""lng"": 12.473377855779459}, {""lat"": 41.909959666377354, ""lng"": 12.472898308985505}, {""lat"": 41.90979598595436, ""lng"": 12.472977632515509}, {""lat"": 41.909943566682244, ""lng"": 12.47357977022054}, {""lat"": 41.90939869000755, ""lng"": 12.474019628045156}, {""lat"": 41.90921102073256, ""lng"": 12.47619783593007}]",$$,⭐⭐⭐⭐(4.3),Pizzaré,950 meters,13 minutes,yes,yes,no
"Via della Fontanella, 12, 00187 Roma RM, Italy",Italian,03,11:00 AM - 1:00 AM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.91300581828368, ""lng"": 12.472120367990758}, {""lat"": 41.91303753091586, ""lng"": 12.472213846837823}, {""lat"": 41.9131480135132, ""lng"": 12.472338943529628}, {""lat"": 41.91355280277474, ""lng"": 12.474173716677445}, {""lat"": 41.91161986338608, ""lng"": 12.47491343594444}, {""lat"": 41.911779518048874, ""lng"": 12.475888840431647}, {""lat"": 41.909154009915774, ""lng"": 12.477074872868497}, {""lat"": 41.90919464857531, ""lng"": 12.477244760811658}]",$$,⭐⭐⭐⭐(4.2),Brillo Restaurant,1000 meters,11 minutes,yes,yes,yes
"Via Giuseppe Gioachino Belli, 116, 00193 Roma RM, Italy",Italian,03,12:30 PM – 3:30PM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.91299392753141, ""lng"": 12.472115760362541}, {""lat"": 41.91303651231508, ""lng"": 12.472217536909925}, {""lat"": 41.913167094097446, ""lng"": 12.472357201240003}, {""lat"": 41.91242992639202, ""lng"": 12.472684438302602}, {""lat"": 41.91217333583699, ""lng"": 12.472710817011041}, {""lat"": 41.91214918713026, ""lng"": 12.472559381181034}, {""lat"": 41.91010590509649, ""lng"": 12.473377855779459}, {""lat"": 41.90959692390635, ""lng"": 12.471380925608932}, {""lat"": 41.9093353932707, ""lng"": 12.47149047923464}, {""lat"": 41.909280007267355, ""lng"": 12.471396209792132}, {""lat"": 41.908596909261995, ""lng"": 12.471100997592389}, {""lat"": 41.90860798658504, ""lng"": 12.470971997302636}, {""lat"": 41.90708498250889, ""lng"": 12.470578787725778}, {""lat"": 41.90670286770186, ""lng"": 12.469430677759012}]",$$,⭐⭐⭐⭐(4.4),Orecchietteria Banfi,1200 meters,12 minutes,yes,yes,no
